문장,정답,예측,확신도(%)
지금 당장 나와 합의하고 해결보자 어떻게 그래 이제껏 내가 당한게 있는데 이렇게 종이하나로 퉁치겠다고 난 그렇게 못해 왜 언론에 알리기라도 하려고 야 나 이제 막뜨기시작했어 좋게 좋게 해결보자니까 이게 좋게 해결보는거야 이제껏 모른체 하다가 겨우 이정도 금액으로 입막음하겠다는 거잖아 하 좋게좋게 넘어가줄려고 했더니 이게 안되겠네 이정도 주는것도 고맙게 여겨야지 원래대로 한번 맞아볼래 이제껏 나 속이고 돈 다가져가고 우리 아이까지 지우게 해놓고 뭐라고 그러니까 합의금 준다잖아 아니면 그냥 이세상 그만 보게 해줄까 오냐오냐 해줬더니 안되겠구만 우리 회사에 조폭도 많은거 알려나 모르겠네 그만해 왜그래 이거 다 알릴거야 나도 그냥 있지 않을거라고 그래 정말이지? 내가 말했지 회사에서도 가만히 있지 않을거라고 어디 하늘나라에서 한번 이야기 해보던가 역시 진심은 하나도 없고 결국 협박이구나 무서운 인간,협박(0),갈취(1),81.56
죄송하지만 부탁인데 마스크좀 써주세요 니가 뭔데 마스크 쓰라 말아야 공공장소에서 마스크도 안쓰시는데 본인때문에 다른 사람들 코로나 감염이라도 되면 배상하실겁니까 내가 왜 배상해야하는데 마스크쓰는거 답답해서 못쓰겠다 마스크 쓰지 않으시면 신고하겠습니다 뭐 신고? 신고해봐 신고하면 가만히 안둘꺼야 마스크 쓰기를 거부하시니 신고하겠습니다 신고해봐 어자피 벌금몇푼내면 끝이야 신고할테면 신고해봐 좋은말로 알때 마스크 써주세요 싫은데 내가 왜써야되냐 신고할거면 빨리신고해 뜸들이지 말고,기타괴롭힘(3),협박(0),81.25
선생님 저 이번 시험 점수 도저히 납득이 되질 않습니다. 은혜야 갑자기 그게 무슨 말이니? 이미 성적처리는 다 끝났단다. 제가 왜 과제 점수에서 이렇게 나온 거죠? 그야 니가 요구하는 조건을 잘 충족시키지 못했으니 그렇게 나온거지 너 지금 내가 널 일부러 낮게 줬다는 거니? 아뇨. 그런 건 아니지만 선생님께서 저한테 이렇게 하시면 안 될 것 같아서요. 은혜야 너 이거 좀 주제 넘는다고 생각안하니? 평가는 너희가 하는게 아니라 선생인 내가 하는거야. 쓸데 없는 소리하지말고 돌아가. 아뇨? 선생님. 저 다 알고있어요. 선생님이 혜정이 어머님께 뒷 돈 받으신거요. 뭐? 너 그게 무슨소리니? 내가 그런 부당한 일을 저질렀다는 게? 저 증거도 가지고 있구요. 못 믿으시겠다면 제가 가진 증거 다 퍼트릴게요. 교육청에 학교에 아이들에게요. 너 정말. 그게 지금 선생님한테 할 말이니? 날 협박하는거야? 선생님 그거 아시죠? 나쁜 소문은 빨리퍼지고 아무리 거짓말이였다고해도 이미 늦은 뒤라는 거 그럼 전 제 성적 다시 정정해주실 거라 믿고 가볼게요.,갈취(1),기타괴롭힘(3),81.16
김선생 이번에 우리가 동문회하는 데 돈이 좀 모자르네. 네. 그렇군요. 김선생. 당신 좀 눈치가 없나 허허. 무슨 말씀이신지. 당신 교수되기 싫어? 허허 김선생이 왜 후배 이선생보다 아직도 교수가 못되었는 지 이제 알겠구만. 교수님! 아니 동문회비 그거 얼마나 한다고 그러나. 교수가 되려면 말이지 이런데 통이 커야하네. 죄송합니다. 저 이번달에 아내가 출산해서 빠듯합니다. 그렇지. 자식이 중요하지. 그런데 자네 교수되는건 안중요하다는 말이지. 교수님 그런 의미 아닌거 아시지않습니까,갈취(1),직장내괴롭힘(2),81.1
아니 다른집 사위들은 능력 좋아서 차도 뽑아주고 골프여행도 보내준다는데 아휴 여보 김서방 듣겠어요 그러지마요 들으라고 하는 소리야 처가와서도 밥만 잘넘어가나 잘만 쳐먹네 여보 좀 내가 뭐 틀린 말 했어? 여보 제발 김서방 기분도 생각해줘야죠 내가 마음에 안드는 사위 놈 뭐 눈치까지봐야돼? 아휴. 저도 모르겠네요 정말 자네도 잠자코 있어 자네도 맘에 안들면서 편들어주려고하지말고 여보. 그만해요제발,기타괴롭힘(3),직장내괴롭힘(2),80.9
야 이것좀 빌리자 안돼. 전에 가져갔던 무선이어폰도 안주고 있잖아 그건 내가 쓰고 있는데 고장나면 줄께 걱정마 너 자꾸 이럼 신고할거야 친구끼리 왜 이래 잠시 빌려쓰는데 빌리는거냐 가져가서 안주는거지 너 맞은지 좀 된것같다 좀있다볼까 우리 난 예전에 내가 아니야 인터넷에 니가했던 나쁜짓 다 올려버려서 널 폭로할거야 야야 장난이야 뭘그리 겁을 먹냐 이어폰 가져가 소리 잘나오네 비싼게 역시 달라,기타괴롭힘(3),갈취(1),80.6
저기요 저 치킨 배달 시켰는데 치킨 좀 받아와 주세요 보다시피 제가 발에 깁스를 하고 있어서. 저기요 환자분 여기는 환자분 병을 치료하는 병원이지 배달 온 거 세팅 해주는 호텔이 아니예요 아니 환자가 하라하면 해야지. 뭔 말이 그렇게 많아? 야 내가 지금까지 내는 병원비가 니 월급이야 몰라? 저기 환자분. 환자분이 내시는 병원비는 치료하시고 정당하게 내야 할 금액을 내는거지 제 월급으로 주시는 돈이 아니지 않습니까? 야 그게 그거지 병원에 환자가 없으면 니네들 월급 다 못 받아 몰라? 우리 같은 사람들 없으면 돈도 못 벌고 살 주제에 아. 이 진상손님 말하는 꼬라지가 아까부터 영 마음에 안 드네? 야 너!!!! 뭐라고 그랬어!! 말하는 꼬라지??? 말 다했냐? 하 진짜 말하는거 웃기네 그래 너 말하는 꼬라지 내가 틀린말 했냐? 먹고 싶으면 니가 가져다 먹어야지 뭘 시키고 그래. 애초에 시키지를 말던가. 참나 더러워서 너 내가 배달 기사님한테 부탁하고 만다. 이 일 그냥 안 넘어 갈거야. 다 소문낼거야. 병원에도 고발할거고 그렇게 해보던가 야 내가 지금 당장 여기 앞에 있는 손소독제 니 몸으로 들어가는 수액에 주입하면 너 바로 죽어 고발하고 소문내봐.내가 죽이는 게 더 빠를거야 기다려 곧 죽여줄게. 뭐 지금 오는 치킨 내가 맛있게 먹을게. 고마워 그럼 잘 죽어! 야야 뭐하는 짓이야! 야!!!!!!!,협박(0),기타괴롭힘(3),80.44
개발 2팀 이미나 대리 알아? 글쎄 이미나 대리가 지난달에 이혼했대. 진짜? 왜 이혼했대? 잘 모르겠는데. 어쨌든 그렇게 됐나봐. 어머. 불쌍하다. 그집 애도 있지 않아? 아마 둘일껄? 어떡하냐. 남편 전문직이라고 그렇게 좋아하더니 불쌍하다. 애들은 어쩌구. 불쌍하지 이제 혼자 벌어야 하니. 왜 이혼한거야? 바람피운거야? 글쎄 아마 그렇지 않을까? 요새 쎄컨 두는게 유행이니. 애들만 불쌍하지 뭐. 남이사 이혼하든 말든 무슨상관이야!!!!,직장내괴롭힘(2),기타괴롭힘(3),80.17
야 니네누나 이쁘더라? 어? 고마워 니네 누나 이뻐서 그러는데 나좀 소개시켜줘 우리누나 남자에 관심없어 웃기네 너 지금 나 소개 안시켜주려고 그러냐? 그런게 아니라 어제도 딱히 남자에 관심없다고그랬어 야 헛소리하지말고 누나 번호나 찍어 안되는데 머리가 아스팔트랑 뽀뽀하고 나면 정신이 번쩍 들어서 그때 알려줄라나? 아. 알겠어.,협박(0),기타괴롭힘(3),80.08
저기 이 제품 좀 꺼내서 볼 수 있나요? 네? 어떤 제품 말씀하세요 고객님? 여기 이 블루시계요. 아. 이건 좀 고가라서요. 네 알고 있는데요. 직접 구매하실 의향이 있으신 분이면 꺼내드리는데. 제가 살 수도 있잖아요? 고객님 이 모델은 최하 3천만원부터 시작합니다. 구매가 가능하시다는 거에요? 아니 고객한테 이렇게 무례해도 되는 겁니까? 아뇨 전 구매가 가능하신지 여쭤만 보는건데요?,기타괴롭힘(3),갈취(1),79.85
오늘도 윗집은 축구하나보다.어휴 오늘 또 잠 다 잤구나.경비실에 전화해야겠다. 경비아저씨죄송한데 101동 3201호에 층간소음 인터폰 좀 해주세요. 여기 3101호인데요 그쪽에서 인터폰 하셨어요? 하루이틀도 아니고 11시면 다 자야하는 시간인데 너무 하신거 아니예요? 그쪽도 애들 키우면서 이정도에 예민하게 굴려면 아파트에 왜 살아요? 낮에는 참는다지만9시부터 시작해서 11시예요!윗집에서 조심해야하는 시간이죠 제가 일하고와서 애들이 반갑다고 인사하고 씻은게 다인데 그게 시끄럽다면 어쩌라구요? 어쩌라니요? 조심해달라구요 이사람이 이런식으로 나오면 망치 들고 내려갑니다. 제대로 층간소음 알려드려요? 지금 뭐라고 하셨어요? 협박하는거예요? 경찰 불러요? 경찰 오기전에 제가 제대로 판 벌립니다.조용히 살고 싶으면 인터폰하지마요.한번만 더 경비실에서 전화오면 밑에집에 불내버릴테니,협박(0),기타괴롭힘(3),79.84
제가 많이 좋아해요 누구시죠? 저희 눈오는 날 집 앞에서 차 때문에 만났잖아요 그런데 왜 연락을 하지죠? 다 해결된거 아닌가요? 그때 저희 좋았잖아요? 저는 결혼까지 생각하고 행복했습니다 무슨 말씀이시죠? 앞으로 연락하지 말아주세요 지금 집 앞인데 만나서 이야기하실까요? 슬슬 열받는데 정중히 부탁드립니다 연락하지 말아주세요 이렇게 뒤통수치시면 안돼죠 저는 결혼도 생각하고 있었는데 계속 연락하시면 차단하고 경찰에 신고하겠습니다. 지금 남편에게도 알렸어요.,기타괴롭힘(3),협박(0),79.6
야 너 00오빠랑 어제 가는거 봤다? 그게 뭐 어쨌다고 그 오빠 다전남친이야 나랑 무슨 상관이야 내가 다 친구라도 돼? 야 맞을래? 걍 기분 나쁘니까 만나지말라고 싫어 ! 야 너 부모님 없더라? 너가 그걸 어떻게. 너 그 오빠랑 계속 만나면 반에 그거 다 퍼뜨릴거야 그리고 너 맘에 안드니까 참교육좀 받아야겠다 .내일 학교 공터로 와라 안오면 알지?,기타괴롭힘(3),협박(0),78.11
당신 손녀를 지금 데리고있다. 네??? 제 손녀를 데리고 있다고요? 그래. 내가 당신 손녀를 데리고 있어. 무슨 소리세요 제 손녀를 데리고있다니! 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 1억이라니요 그런 큰 돈 없어요 그럼 손녀를 살리고 싶지 않은건가? 아니요 하지만 그렇게 큰돈을 마련할수없어요 제 손녀를 살려주세요 당장 입금하지 않으면 손녀는 죽일 거다 안돼요 무슨말이에요 제 손녀를 건들지 마세요,협박(0),갈취(1),78.09
선생님 안녕하세요. 누구세요? 저 이번 대회에 참여한 박시우 학생 엄마 입니다. 아아. 네 어머님 안녕하세요. 이 곳엔 어쩐 일로? 다름이 아니라 저희 아이 이번엔 꼭 입상해야합니다. 네? 그게 갑자기 무슨 말씀이신지. 저 번에도 선생님께서 저희 아이 점수 낮게 주셔서 입상어려웠던 거 다 알고 있습니다. 어머님 저는 시우여서 낮게주고 시우가 아니여서 높게 준 것이 아니라 공정한 심사를 통한 점수를 준 것 뿐입니다. 선생님 오신지 얼마 안되서 모르시나 본데 저희 아이 한 번도 떨어진 적 없었고 선생님 오신 뒤로 성적이 뒤쳐지기 시작했어요. 지금 이곳 저희 아버님이 투자한 거 모르시나봐요? 저 때문에 시우가 성적이 떨어진 것이 아니라 그 전에는 어땠을 지 모르지만 저는 동등한 평가를 했습니다. 더 이상 드릴 말씀이 없네요. 선생님 좀 말이 안 통하시네요. 어머님이 건강이 안좋으셔서 돈 많이 필요하신 걸로 아는데 당장 직장 잃으셔도 괜찮으신건가요? 아니면 계속 다니고 싶으신거면 제 말 아시죠?,갈취(1),기타괴롭힘(3),76.88
여행 누구랑 다녀왔어요? 아 친구랑요 친구 누구? 남자친구? 아니요 대학 동창이요 아 대학교에서 만난 남자친구? 아니요 그냥 친구요 아 요즘에는 흠도 아니야 솔직히 말해도 되지 진짜 그냥 친구요 아 그래그래 남자인 진짜 그냥 친구 하,기타괴롭힘(3),직장내괴롭힘(2),76.62
무료 이벤트라고 해서 왔는데 이것도 꼭 받아야되나요? 당연하죠 세상에 공짜가 어딨어요 아니 그럼 무료라고 써놓으면 안되죠 그럼 애초에 안 받겠다고 해야지 이미 받고 그러시면 어떻게 해요 아니 저 정말 몰랐는데 이미 결제했어요 10만원 아니 제대로 설명을 해주셔야죠 학생 검사까지만 무료인거야 학생이 몰랐던 걸 왜 나한테 따져 아니. 자꾸 이러면 경찰 부를거야 네.,갈취(1),기타괴롭힘(3),75.46
저기 누구신데 자꾸 사진을 찍어요. 죄송한데 사진 좀 지워주세요. 머라고? 내가 누군줄 알고 그래요? 저 오빠 펜이에요. 팬인건 너무 고마운데 제가 이 비행기 타는건 어떻게 알았어요? 오빠 제가 모르는게 어디있어요 아니 업무차 가는게 아니라 저 휴가가는거라 소속사도 제가 어떤 비행기 타는지 어디로 여행가는지는 몰라요. 오빠 저는 소속사에서 알려주지 않아도 다 알아요. 오빠가 어디에 사는지. 오늘 개인적은 일정은 있는지 어떤 비행기를 타는지 어떤 좌석을 앉는지. 다 안다고요. 네? 이거 사생활 침해에요. 사생활침해라니요? 다 오빠 사랑해서 이러는건데 너무하신거 아니에요? 제발 저한테 이러지 말아주세요. 부탁드릴게요. 저도 거기로 여행가는지 어떻게 알아요? 제가 오빠랑 운명이라는 거에요. 아니에요. 제발. 부탁드릴게요. 저의 사생활까지 아는거 너무 부담스러워요.,기타괴롭힘(3),직장내괴롭힘(2),75.08
치마 너무 짧은 거 아니야? 무릎 길인데요. 아니 앉으면 무릎이 훤히 다 보이잖아. 눈썹도 너무 진하고. 눈썹은 원래 이런 거에요. 원래 눈썹이라고? 네. 그럼 뽑든지 자르든지 해서 좀 정상적으로 맞춰봐. 직장에서 혼자만 너무 튀잖아. 제 눈썹이 비정상인 거에요? 그럼 비정상이지. 다른 직원들도 네 눈썹 다 과하다고 수근거려 업무랑 관련도 없는 건데 너무들 하시네요.,직장내괴롭힘(2),기타괴롭힘(3),74.45
저기요 네? 너무 맘에 들어서 그런데. 아네 연락처좀 여쭤봐도 될까요? 아.죄송합니다. 그래도 연락처좀. 남자친구 있어요. 번호 안 주면 여기서 당장 죽여버린다!!!! 아.네 드릴게요.,협박(0),갈취(1),73.86
혹시 알바 지원하셨던분 맞죠? 이리로 오시면 됩니다 따라와주세요 어. 근데 제가 알고 온 알바랑은 다른데 뭔가 착오가 있으신건 아닌가요? 아 뭐 위험한 일도 아니고 그냥 저기 있는 사람 감시하고 있으면 돼요 네? 저게 무슨짓이에요 사람한테 빨리 풀어주세요 뭐하시는겁니까? 저 사람 살아있는건 맞나요? 그냥 하라는대로 해요 돈은 많이 챙겨드릴게 이런 알바 하면 무슨 일 생길 줄 알고 제가 합니까 그냥 못 본척 할게요 죄송합니다 안녕하 계세요 그렇게는 안되지 니 두 눈으로 똑똑히 본 게 있는데 야 제 죽지 않을정도로 때려서 재워 네 알겠습니다 그니까 그냥 하지 그랬어요. 돈 많이 준다는데 그럼 땡 아닌가 왜 이러세요 하지마세요 왜 이러시냐구요 저 친구한테 여기로 알바 온다고 말하고 왔어요 근데 뭐? 장소야 우리가 움직이면 되는거고 안그래도 혈액이랑 눈? 콩팥정도 필요 했는데 다행이네 죽이지말아주세요 하라는대로 할게요 살려주세요 안죽여 안죽여 눈 없다고 죽는거 아니고 콩팥 하나 없다고 안죽어 눈뜨고 나면 하라는대로 해 돈 많이 줄게,협박(0),갈취(1),73.24
이 새끼 이거 봐라 찌질한 새끼. 거지새끼가 어디서 돈이 나서 이렇게 좋은 옷을 입고 학교엘 다 왔대? 이거 우리 이모가. 이거 우리 이모가. 뭐? 거지새끼 니네 부모는 거진데 니네 이모는 돈 많다 이거냐? 근데 왜 저번엔 우리한테 돈 못준건데? 어? 거지새끼 대답해봐? 말을 왜 그렇게 해. 야 이 거지새끼야. 거지새끼한테 안어울리는 옷을 왜 니새끼가 입고있는거야? 대답해보라고 하잖아. 야. 그만해 그만해. 귓구녕 막힌 것 같은데 저런 새끼한테 말이 통하겠어? 벗으라고 무슨뜻인지 몰라? 왜. 왜이래. 이러지 마 벗기지마! 아 이새끼 말 존나 못알아듣네. 벗으라고! 돌려줘 그거 내꺼야 거지새끼한테 이런 게 어울릴 것 같아? 이제부터 이건 내꺼야 임마,갈취(1),기타괴롭힘(3),72.94
