문장,정답,예측,확신도(%)
오 신발샀냐? 응. 전에 신던게 다 헤져서.부모님이 사주셨어. 니네 집 꽤 사나보다? 이런 신발도 잘 사주시고? 응.? 그런건 아닌데.그래도 신발은 오래 신는 거라고. 잠깐 벗어봐. 나 한 번만 신어보자. 어.돌려줄거지.? 아 장난치냐 내가 그럼 니가 신 던거 가져갈까봐 그래? 빨리 내놔보라고. 잠깐만이야. 와 이거 딱 내 신발이네. 야 나 이거 몇일만 빌려주라 내가 신으니까 니가 신을 때보다 더 간지나잖아. 고맙다 잘 신을게 돌려줘.! 정말 안돼.저번에도 너가 빌려갔다가.다 헤져서 산 거란 말이야.,기타괴롭힘(3),갈취(1),86.84
아이고 최사장님 요즘 일좀 잘 되신다면서요? 아니요 그냥 뭐 이제 좀 직원들 월급좀 주고 합니다. 아니 내가 거기 회사 세울 때 뭐 쫌 도움좀 주고 그런거 같은데 감사 인사가 없는거 같아서. 아. 제가 조만간 자리좀 만들겠습니다. 뭐 조만간 할 꺼 있나 오늘 저녁 어떤가? 오늘 저녁은. 아예 그럼 제가 연락드리겠습니다. 그래 이따가 연락 달라고 여기로 모시겠습니다. 아이고 분위기 좋쿠만 한잔 받으십시요제가 사장님 차에 좀 넣어 놨습니다. 제작은 성의니까 받아 주십시요.,갈취(1),직장내괴롭힘(2),86.38
여보 식사하세요 어 지금 가. 여보 오늘도 고생 많았어요. 왜이래? 밥이나 먹어. 당신 근데 견과류 알러지 있다고 했죠? 어. 먹으면 목이 부어서 숨이 안쉬어져. 그래서 어릴 때 이 후로 한 번도 먹어본 적없어. 왜? 아니에요. 나도 당신 만나고 견과류 먹어본 기억이 없어서. 내가 안먹으니 너도 안먹어야지. 말이라고 해? 알죠. 그래서 지금까지 안먹었잖아요 근데 여보 오늘 샐러드 드레싱 어때요 ? 땅콩 좀 갈아 넣어봤는데 .윽.뭐야? 당신.일.일부러. 윽 . 살려줘.약.약!!.켁. 여보 그 동안 고마웠어요 그러게 내가 원하는 대로 해줬으면 좋았잖아.잘가요 여보 일단 가진 알바비이라도 다 내놔.,갈취(1),기타괴롭힘(3),86.29
오늘 옷차림이 네? 치마가 말야 무슨 말씀이세요? 치마가 너무 길어 제 옷은 제가 알아서 입습니다 아니지.옷차림도 하나의 사회생활이야 치마길이가 사회생활과 관계가 있나요? 있고말고. 치마 길이가 길면 내기 우울해지거든 왜 이러십니까.,직장내괴롭힘(2),기타괴롭힘(3),86.18
시키는 대로좀있냐 있긴있는데 있는거 다 내놓자 그럼차비만 좀 차비는 걸어가라 넘 멀어요 다른사람한테 빌려라 에? 쳐맞고 갈래? 아니오 여기 있어요,협박(0),갈취(1),86.15
우와 00아 너 이번에 올라온 사진 정말 예쁘더라. 아 응 고마워! 그래서 그 사진 보고 너가 입은 옷이랑 립스틱 따라 사고 싶은데 어디 제품인지 알려줄 수 있을까 ? 나 정말 너 좋아해서 따라하고 사진 찍고 싶어. 어. 0000 여기 제품이야. 우와 봤는데 너무 비싼 것 같아. 어차피 사진 한 번만 찍을 껀데 둘 다 빌려주면 안될까? 아 그래. 빌려줄게. 그러면 빌려주는 김에 전전 피드에 올린 옷도 같이 빌려줘! 아 그거는 내가 사촌언니 이미 빌려줘서 못 빌려줄 것 같아. 그래? 근데 나 진짜 너무 궁금한데 언니한테 얼른 다시 받아서 빌려주면 안될까? 너 엄청 착하잖아. 믿어도 되는거지?! 알겠어.,기타괴롭힘(3),갈취(1),86.05
동생아? 너 내가 어제 설거지 해놓으라고 했지? 형 나 어제오늘 바쁘다고 말했잖아. 어쭈 그래서 안하고 버틴다고? 이번만 형이 해주라 설거지 안해두면 너 지난번에 성적표 숨긴거 엄마께 말한다. 아. 그건 좀 아니지 그리고 저번에 오티간다고 거짓말하고 클럽에서 밤샌것도 다 말할거야. 형 진짜 이러가야? 싫으면 해놓던가. 아.하면 되잖아. 설거지,협박(0),기타괴롭힘(3),85.7
누가 니 멋대로 내 폰 훔쳐보래 정신이 나갔네 이거 당신이 바람 피는것 같길래 확인해본거야 아니라면 의심해서 미안해 근데 폰에 그 사진은 뭐야? 별거 아니야 그냥 회사 동료들 아 그래.? 찾아 보니까 모텔이던데 회사 동료들이랑 모텔도 가? 그것도 날짜 보니까 나 아파서 입원해있던 날이네.? 잠깐 출장갔다 올라오는데 피곤해서 눈 붙인거야 내가 이렇게 일일이 다 설명해줘야해? 니가 뭔데 진짜 뭣도 없는거 호강시켜놨더니 한다는 말야 참 이래서 함부로 결혼하면 안된다니까 왜 말을 그렇게 심하게 해? 난 의심이 되니까 물어본것 뿐이야 말 심하게 한거 사과해주면 좋겠어 사과는 무슨 의심 니 멋대로 해 그래 나 바람폈다 왜? 내가 더 마음에 드는 사람 있으면 만나도 되는거 아니야? 그래서 나 아픈 날 그렇게 만나고 다녔어? 진짜 같이못살겠다 집에서 나가줘 참나 뭔 내가 나가 니가 나가 먹고 재워주고 다 했더만 한다는 말이 니 죽고 싶냐? 죽여줘 안되겠네 조금만 기다려 흥분하지마 내가 말 잘못한것도 없잖아 그니까 근데 짜증이 나서 안되겠네? 그냥 죽어줘 아니다 일로와 뛰어내려 죽여버릴거야 적당히 나댔어야지 죽어버려,협박(0),기타괴롭힘(3),85.62
수현아 혹시 나 1만원만 주면 안되? 그. 게 나도 주고 싶은데 오늘은 말이 없어 없다고?비상금있을꺼 아니야 비상금 없어.어제 탈탈털어서 써서. 뻥치네 내가 그냥 달라했어?빌려달라는거지. 나도 알아.빌려주고 싶은데. 말이 없어. 있잖아.가방 뒤져서 나오면 나 가져갈게 . 가방 안되. 가방 내놔.어디보자 여기 있네.나 할게. 안되 그건 엄마 말이라구 줘야해.,협박(0),갈취(1),85.62
어이 코털 왜 왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라 나 돈없어 돈없어? 그럼 내가 돈줄께 어 여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라 야 택도없어 야 뒤질래? 쌔벼서라도 갖고와 색키야 야,기타괴롭힘(3),갈취(1),85.45
그만 좀 꺼져 내가 뭘 했다고 그냥 너 존재 자체가 짜증나 아 왜 그래 쳐맞고싶냐 미안 그리고 너 동생 이쁘던데 어? 이쁘다고 동생은 건드리지 마 건든다고 안 했는데? 죽고싶냐 이새끼야? 미안,협박(0),기타괴롭힘(3),84.87
가영아 나 아이패드 한 번만 더 빌려주라. 안돼. 저번에도 빌려줬다가 한 달만에 돌려줬잖아. 그 때 내가 사정이 있었다고 했잖아! 그런것도 이해 못해주는거니? 아니.나도 써야하는데. 이번에는 정말 빨리 쓰고 줄게. 너도 하나 사면 되잖아. 내가 태도이 없어 그러니? 사러갈 시간이 없다고 몇 번 말해! 아.알겠어 빌려주면 되잖아 빨리 좀 줄 것이지. 꼭 돌려줘야해.,협박(0),갈취(1),84.54
씨 아무래도 편의점 알바를 그만둬야 겠어요. 네?. 사장님 제가 무슨 잘못이라도 했을까요? 아니 좀 친절해야지 맨날 무뚝뚝한 표정에 화장도 안하고 나오고. 하지만 전 지각한 적도 없고 재고 청소도 깔끔히 하고 계산도 잘 했는데 단순히 그 이유만으로 그만둬야 되나요.? 아니 손님들한테 그런 불편사항이 들어왔어 알바가 너무 무뚝뚝하다고 좀 웃고 화장도 하고 친절해야지 아. 네. 오늘까지만 하고 내일부터 안나와도 돼 아니 사장님 이렇게 급하게 자르신다구요? 저도 다른 알바 알아볼 때까지 기한을 주셔야죠. 손님 불편사항으로 당장 처리해야 하는데 그럼 어떡해? 난 모르겠고 내일부터 나오지 마세요 이러기 전에 잘 좀 하던가 . 네 알겠습니다.,기타괴롭힘(3),직장내괴롭힘(2),82.53
야 아프냐? 하지마 아파 해지매애 애패 크크크크 야 이번엔 이걸로 그어보자 올 재미있겠는데 크크 야 붙잡아 하지마 재미없어 무서워 뭐가 무서워 내가 칼로 문신 만들어줄께 멋있을거야 칼빵 어때? 어디다 그어줄까? 오른쪽? 왼쪽? 애꾸눈 어때? 싫어 이거 놔줘 싫으면 어떻게 할건데? 왜? 도망이라도 가게?,기타괴롭힘(3),협박(0),82.31
야 너 내가 00이 만나지 말라고 경고했을텐데? 언니 제 마음이에요. 제가 만나든 말든 언니가 무슨 상관이에요? 니가 지금 세상 참 편하고 행복하게 사는구나? 전남친한테 쳐맞고 아직도 정신 못 차렸나? 여기서 그 얘기가 왜 나와요? 언니도 똑같이 쳐맞아 볼래요? 머리에서 피 나오고 온 몸이 멍이 들게 해줘요? 해봐. 니까짓 거 하나도 안 무서워. 한 번 더 내 눈 앞에서 알짱대면 그냥 그대로 뒤질 줄 알아 언니. 언니가 지금 스스로 무섭다고 생각하나본데 그냥 웃기거든요? 한 번만 더 저한테 충고하면 앞으로 말 하기 싫다는 뜻으로 알고 혀를 뽑아버릴게요. 이제야 본색을 드러내는구나. 말로는 뭘 못 하겠니 제 소문 못 들으셨나봐요. 어디 한 번 해보세요. 다시는 말 못하고 얼굴 못 들고 다니게 해줄게요. 꺼져. 언니도 꺼져요 제발. 일단 가진 전재산이라도 다 내놔.,갈취(1),협박(0),82.18
야. 너 니 친구 어디로 튀었는지 불어. 저 진짜 몰라요. 저는 같이 달리고 있었는데 친구만 어디로 사라졌어요. 진짜 몰라요. 아니 요즘 청소년들은 간이 배 밖에 나왔나? 편의점에서 담배 훔치는 건 어디서 배웠어? 죄송해요. 저도 친구가 시켜서 했어요. 잘못했습니다. 방금 내가 코너 돌기 전에 친구랑 수신호 하는 거 봤어. 제대로 불어. 안 불면 너 다리 분질러 버릴테니까. 뭐라고 하셨어요? 너 다리 부러뜨리겠다고!! 아주 그냥 이것들이 미쳐서! 아저씨 한 번만 봐주세요. 아니 너 친구어디로 뛰어갔는지 말해. 안 얘기하면 너 팰거야! 저도 잘 모르겠다구요. 한번만 살려주세요.! 일단 가진 입금이라도 다 내놔.,갈취(1),협박(0),81.98
야 나한테 데이터 선물좀해줘 데이터? 나도 부족한데 한달쓰기에 야 나는 벌써 다썼어 너는 왕따라 연락할데도 없잖아 아니야 인강도 봐야해 아 공부도 잘하는새끼가 인강 한두번 본다고 안죽어 그.그래도 답답하게 하지말고 얼른 데이터 보내라 맞고 보낼래? .알겠어. 얼른 보내 보냈어? 지금 보내고 있어,갈취(1),기타괴롭힘(3),81.93
이제 두달후면 우리 아이 태어나잖아.제발 다시 생각해주면 안돼? 내 애라는 증거있어? 그래 니 새끼 생각하면 이혼서류도장찍으라니까. 자기야.내가 다 용서할께 제발. 됐고. 찍어. 안찍음 너랑 니새끼는 저세상 가는거야 저세상? 지금 그게 할 말이야? 왜? 내가 칼들고 못 쫓아갈꺼 같애? .이럴 순없어. 그 여자가 뭐길래 나한테 이래? 너때문에 내 인생 이리된거 이젠 끝낼꺼야 그러니까 오늘까지다 찍어놔라 나 못해. 절대 안해줘. 너 후회 안하지? 그래 나 새인생 살거야. 쥐도새로 모르게 없애 줄테니까 그말한거 후회할꺼다. 신고할꺼야 너. 나도 못참아. 일단 가진 전재산이라도 다 내놔.,갈취(1),협박(0),81.79
와 한창 분위기 좋을때 방해해서 죄송합니다 누. 누구야? 이 새끼 갑자기 쉬쉬 사장님 흥분하지 마시구요 제가 이 여자 오빠되는 사람입니다 그런데 안타깝게도 얘가 아직 18살이 안됐지 뭐예요 뭐? 그. 그게 어때서? 우리 사. 사랑하는 사이야 푸하하하 이분 재미있으신 분이시네 저.저기 내가 한번 실수 한것 같으니 용서해주게 용서라 뭐 까짓것 용서해드리죠 다만 제게 뭔가 필요한게 있어서요 사모님 번호가 뭐였더라 태도이 필요하다면 내 지분을 팔아서라도 줌세 제발 그 사장님 소유의 은행 있는 건물 기억나시죠? 자네가 그걸 어떻게?,협박(0),갈취(1),81.41
야 너네집 엄청 작다며? 이정도 차면 너네집 정도 크기겠는데? 어어? 아니야. 우리집 이것보다 커 우리집이 이 차보다 크데 이게 고시원보다도 큰 찬데 너 아직 정신 못차렸구나 거기서 갖혀있으면서 생각 좀 해봐 뭘 잘못했는지 아니야 애들아 내가 미안해 내가 잘못했어. 아니야 넌 잘못한거 없어 우리 앞에 나타난게 잘못이지. 제발 살려줘 얘들아 문을 왜 잠그는거야. 문이 잠겼어? 그럼 열고 나와. 곧 그차 폭발하거든 그러니까 살고 싶으면 그 전에 나와야겠네? 제발 부탁이야 꺼내줘. 앞으로 안 나타날게 거기에 갖히는 것도 안나타나는 방법이야. 어디한 번 잘 빠져나와봐. 제발 살려줘 애들아. 일단 가진 전재산이라도 다 내놔.,갈취(1),협박(0),81.16
그 반지 멋진걸? 안돼요 이리 내 어서! 이건 결혼 반지입니다 내놓지 못해? 안돼요 약속을 드릴게요 가진 약속 다 내놔 이 반지 만큼은 안 됩니다 이건 결혼반지란 말이에요 꽤 값나가 보이는데 어서 내놓지 못해? 안돼 제발 돌려주세요,협박(0),갈취(1),81.07
야 너. 가방맨놈. 일로와봐. 저 저요? 그래 너. 그 뒤에 놈은 꺼지고. 아 그 저기. 뭐. 씨발. 너도 뒤지고싶어? 죄송합니다. 죄송합니다. 미안.! 지 친구 버리고 꽁무니 빼는거 개웃기네. 웃기지 않냐? 아. 네. 안웃어? 내가 너 때렸냐? 빨리 처 웃지? 아. 하하하. 내가 왜 너만 불렀는지 아냐? 그 아니요. 표정 풀어 새끼야. 형이 요즘 사고싶은 신발이 있었는데 너가 딱 신고가길래 부른거야. 나 줘라 그거. 아. 아. 네. 그냥 주라는건 아냐. 나도 그렇게 나쁜 사람은 아냐. 저기 쓰레기통에 슬리퍼 하나 있더라 그거 줄게 신고 가라. 아. 네. 그리고 그 신발 신고있는거보니 돈좀 있나본데 좀 빌릴게 괜찮지? 네.,갈취(1),협박(0),80.94
위에 보고를 그딴식으로 하면 어떡해? 나 엿먹이려고 작정했어? 미친거아니야? 그런 의도는 아니였습니다. 저는. 아니긴 뭐가 아니야? 그리고 너는 꼭 변명부터 나오려하더라? 죄송합니다부터 나와야 정상아니야? 죄송합니다. 뭐가 죄송한데? 보고할 때 좀더 신중하게 하겠습니다. 내가 저번에도 이 부분 실수하지말라고 말했었지? 또 이러면 진짜 너나 나나 옷 벗는거야! 알아들었어? 알겠습니다. 표정 풀어. 뭘 잘했다고 인상쓰고있어? 너는 진짜 사람 띠껍게하는 재주가 있는 것 같아. 진짜 죽여버린다. 죄송합니다. 명심해라. 다음에도 또 이러면 진짜 너고 니 가족이고 다 죽어. 알겠습니다. 죄송합니다. 일단 가진 100만원이라도 다 내놔.,갈취(1),협박(0),80.65
너 하나밖에 없는 아들 잘생겼네. 이제 하나뿐인 아들도 곧 못볼텐데 인사하고 싶으면 해 제 하나밖에 없는 아들입니다 잘 아시지 않습니까 저 아들없으면 이 세상 못 살아아요 너가 살던 죽던 내 알바 아니잖아 내가 필요한건 그냥 니 아들이야 제 아들이 필요한 이유가 뭡니까? 제가 가능한 다 해결하도록 하겠습니다. 내가 너 딱해서 한 번 기회 주는거야. 역 물품보관소 가면 서류들 있을거야 그 서류 내가 보내는 장소로 가져다 놔 네 지금 바로 하겠습니다 경찰에 신고하면 어떻게 되는지 알지? 네 신고 안 할게요 제발 아들 다치지 않게 해주세요 하라는 대로만 하면 아들도 풀어주고 다 할게 근데 신고하면 니 아들 목숨 네 목숨까지 끊어버려서 세상에서 존재안하 게 만들거야 진짜 하라는 대로만 할게요 그냥 서류만 가져다주면 되는거 맞죠? 일단 가진 쏴라이라도 다 내놔.,갈취(1),협박(0),80.33
당신들 이 이야기 발설하면 내가 어떻게 해서든 죽여버리고 말거야. 부당한 일이니 세상에 알려야겠습니다. 그래. 어떻게 해서든 죽일 수 있으면 죽여봐. 내가 이걸 세상에 알려서 당신이 먼저 죽게할테니까. 이 미친새끼들이 진짜 돌았나.다같이 죽자는거야? 당신들만 입 다물면 우리 아무일 없다는 듯이 살 수 있어. 그렇게는 안되겠네요. 우리가 입 다물면 그 일은 어떻게 되겠어요? 그냥 두 눈 감고 두 귀 닫고 죽은듯이 살아. 그러면 돼. 가슴에 손을 얹고 생각해봐. 이게 옳은 일인지. 이새끼가 진짜 미쳤나. 너 쥐도새도 모르게 죽을 수 있어. 내가 니 밥에 약 타서 너 하나쯤 골로가게 하는건 일도 아니야. 어디 할 수 있으면 해 봐. 일단 가진 5만원이라도 다 내놔.,갈취(1),협박(0),80.15
저기 이 제품 좀 꺼내서 볼 수 있나요? 네? 어떤 제품 말씀하세요 고객님? 여기 이 블루시계요. 아. 이건 좀 고가라서요. 네 알고 있는데요. 직접 구매하실 의향이 있으신 분이면 꺼내드리는데. 제가 살 수도 있잖아요? 고객님 이 모델은 최하 3천만원부터 시작합니다. 구매가 가능하시다는 거에요? 아니 고객한테 이렇게 무례해도 되는 겁니까? 아뇨 전 구매가 가능하신지 여쭤만 보는건데요?,기타괴롭힘(3),갈취(1),80.05
민구야 무슨일이야 나 대전 할머니 뵈러 가야하는데 차비가 없어 어?? 니 어플로 표좀 끊어줘 어 나한테 약속 줄거야? 아니 나 약속 없다니까???? 그럼 나는 그약속어디서 나서? 야 너 약속 많잖아 니네집 사거리 제일 큰 국밥집해서 손님이 끊이지 않는다더마 그게 너랑 무슨.상관이야 아 이새끼 답답해서 돌겠네 얼른 끊어 짜증나게 하지말고 쳐맞고 끊을래?,협박(0),기타괴롭힘(3),79.96
여기요! 아저씨!! 네 무슨일인가요? 청소상태가 엉망이네!!! 지금까지 뭐하고 있었어요? 네?? 무슨말씀이신지? 지금까지 순찰돌고 왔는데요. 순찰? 웃기시네! 정말 순찰 맞아요? 어디서 쉬고왔겠지!! 오해이십니다. 정말이예요! 됐고 청소좀 하고 이것좀 대신 버려줘요!! 냄새나서 분리수거장 가까이를 못가겠네 입주자님 분리수거는 직접 하셔야 합니다. 저의 역할이 아니예요 뭐라구요? 그럼 갈수있게 깨끗이 해놓던가! 그리고 우리가 낸 돈으로 급여받으면서 이것도 못해요? 진정하시구요 이번엔 해드리지만 다음엔 직접 하셔야 합니다.,기타괴롭힘(3),직장내괴롭힘(2),79.88
너 이번에 면접 붙었니? 아.그게 . 또 떨어졌어? 누굴 닮아서 이러는거야 아. 옆 집 자식은 대기업 다닌다더라 죄송해요 . 너 같은 자식 키우면서 바람 잘 날이 없어 죄송합니다 . 그 나이먹고 백수짓하는거 창피한줄알아! .죄송합니다,기타괴롭힘(3),직장내괴롭힘(2),79.86
야 당장 니 배를 갈라서 니 장기 다 뽑아가기 전에 각서 써라 죄송합니다 물건은 기간 내에 준비할게요. 조금만 시간을 더 주시면. 지금 6개월째 미루고 있으면서 조금만?? 처맞고 쓸래 그냥 쓸래 죄송합니다 정말. 최대한. 최대한 빨리 준비할게요. 헛소리하지 말고 그냥 빨리 각서나 써라 안 그러면 너 대신 니 여자친구 장기를 다 뽑아서 그 피로 각서 쓸라니까 제 여자친구만은 건들지 말아 주세요. 부탁입니다. 부탁?? 말로만 하지 말고 행동으로 보여주지그래? 빨리 각서 써 . 알겠습니다 쓸게요 그래 진작에 쓰지 그랬어 알지? 니가 각서 쓰고 튀면 나는 니 여친 찾아가서 배를 갈라버릴 거니까 튀지 마라 네. 알겠습니다. 일단 가진 쏴라이라도 다 내놔.,갈취(1),협박(0),79.82
와 이옷 좋아 보인다 왜 그래 야 옷 이리로 패스 야 받아라 어서 돌려줘 야 오늘 심심한데 옷농구 어떠냐? 내가 멋지게 나 옷으로 골 넣어볼께 엄마가 사주신 내 소중한 옷이야 어서 돌려줘 야 니옷으로 농구하니까 농구할맛 난다 하하하 제발 돌려줘,기타괴롭힘(3),갈취(1),79.75
핸드폰 좋아보이네 저요? 핸드폰 보고 있는 사람 너잖아 제 핸드폰인데 왜 그러세요. 내꺼는 안좋은데 너꺼는 좋아보여서 새로 사세요 약속이 없어서 그래 다른데 가서 알아보세요. 깡이 쎄네 한대 맞아야 주려나? 저리 가세요.,협박(0),갈취(1),79.57
죄송하지만 부탁인데 마스크좀 써주세요 니가 뭔데 마스크 쓰라 말아야 공공장소에서 마스크도 안쓰시는데 본인때문에 다른 사람들 코로나 감염이라도 되면 배상하실겁니까 내가 왜 배상해야하는데 마스크쓰는거 답답해서 못쓰겠다 마스크 쓰지 않으시면 신고하겠습니다 뭐 신고? 신고해봐 신고하면 가만히 안둘꺼야 마스크 쓰기를 거부하시니 신고하겠습니다 신고해봐 어자피 벌금몇푼내면 끝이야 신고할테면 신고해봐 좋은말로 알때 마스크 써주세요 싫은데 내가 왜써야되냐 신고할거면 빨리신고해 뜸들이지 말고,기타괴롭힘(3),협박(0),79.33
